sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
000023827E6E577DE2C3772D2B0C184EAFF7FFC314D6CDF62B748CFA6A462AF5,EEBAF66DBE92DACBBD76243E8901A4301FFAAE6A,06564BFE8579135EDB0E4B5F797B1D54,2107-11-30 00:00:00,15014403,"com.uc.vmate",22403,0,2019-07-08 10:45:42,7971868,play.google.com
000023840783F38467E39CC93B0A9C8EDB7DF3A7F1D151245A16E6AA9E951FFC,daf8948599bd3d1287560e82ede7706d271c17aa,6e73797c929ab9ae6ee61eb885140754,2014-07-20 12:27:14,554618,"ch.milkbook",34,0,2014-07-23 14:27:32,340964,PlayDrone|play.google.com
0000241B6C550B52927C74C854B7A8D9DBA6E86A3576D562001E61FBEB0074F4,D96BF6B6EDF8C408C30C8FB582EAA426D4734597,9E580B59BCE407CC1F7257C61D2255D2,2015-11-09 17:06:28,15098650,"air.com.jeuxdefille.ChickenCookinggame",1000000,0,2016-02-21 08:31:50,2038100,play.google.com
000026E846FFCF60E2A9E135251B4F411300E903DCE95D47989B24158E93BB3D,EB745F4F3A984537756A9769E0417910EB55DBF0,9C033944F2E293BE73AFBB995317C862,2015-09-13 21:46:06,704666,"com.wSpeedtest1A",1442180742,8,2016-01-16 03:46:00,1254648,play.google.com
000027526CC0BE7B6565389DFEC90FFBF90E61ADDD4CBB4BD41938CFEC2FED82,F5912EA71FD8E1E5A2DCEF62B32F317A518AB15F,7BCA7B3D74A917E76B733F9D2E4604AC,1980-01-01 00:00:00,85082078,"com.i4joy.armyofallies",19028,,,5876024,play.google.com
000027D1DA96332EFCB54AF76906A7298121EBCCCDAB3D7DCE999F8043E74EE7,480272E064E8F6CE0F481924DFC34DEF696CA426,E268C1B54459FD0D23D670291090CBBE,1980-01-01 08:00:00,1750444,"com.acp.gfipmg",1,31,2019-02-23 22:24:20,5888,VirusShare
000027F4B7F5BD3BB48921AACC816EF937A0C91BB6E9E4C423DB1F524BCAF32E,1B1C93462A1D45CC89EEFB2E53A8B83E54F8A08E,68EDCD0373384503173E474907A36778,1980-01-01 00:00:00,19216389,"com.artwall.IntroductionToTheTempleOfTheBlessedVirginMaryWallpapers",1,5,2017-06-14 22:58:51,7909940,play.google.com
00002D74A9FAA53F5199C910B652EF09D3A7F6BD42B693755A233635C3FFB0F4,B4F9CBB68BC1CEBA67784BFB4993094B0F752B09,06B18D4DAF44082E9D9B0FE44612B1BA,2011-09-28 03:11:46,238808,"com.perfectlove",10018,19,2012-08-21 00:20:05,200644,appchina
00002DC4C5EB5B50DF52649F58927903F4E1ADF1D0F29435F44606F2740A667E,2BFC3CD7E10CCFEF03C37BC669517A57A603968E,6BFA06140E9EA6BC55339D91B5E08A69,2014-09-23 17:59:52,3567145,"com.gomax.app",1,0,2015-01-19 22:39:46,546344,PlayDrone|play.google.com
000037AB1E46B386AB98D565CC6E9EDE71F5FD775EE7D1521E47434390C0E42C,0C613603237D77DFC1DDF651C5BF0F2CD69EA12E,24DBCDEC16D68EF839BF83284EC04050,1980-01-01 00:00:00,12235505,"net.findword.sherword.android.wordssearching",1,0,2019-02-01 05:52:03,2867264,play.google.com
